Tipo de Modelo,Código do motor,ccm,kW,CV,Ano de fabricação
"1.8 (T4,70)",PD,1781,49,67,12/90 → 07/92
"1.9 D (T4,70)",1X,1896,44,60,09/90 → 06/03
"1.9 TD (T4,70)",ABL,1896,50,68,10/92 → 06/03
"2.0 (T4,70)",AAC,1968,62,84,07/90 → 06/03
"2.4 D (T4,70)",AAB,2370,57,78,09/90 → 06/03
"2.4 SD (T4,70)",AJA,2370,55,75,04/97 → 06/03
"2.5 (T4,70)",AAF/ACU/AEN,2461,81,110,10/90 → 06/03
"2.5 (T4,70)",AET/AEU,2461,85,115,08/96 → 06/03
"2.5 TDI (T4,70)","ACV, AUF, AYC, AXL",2461,75,102,09/95 → 06/03
"2.5 TDI (T4, 70)",AHY,2461,110,150,05/98 → 06/03
"2.5 TDI (T4,70)","AJT, AYY",2461,65,88,05/98 → 06/03
"2.8 (T4,70)",AES,2792,103,140,11/95 → 06/03
"2.8 V6 (T4,70)",AMV,,150,204,06/00 → 06/03
